Topic,Category,Level,Course name,Instructor,Course Code,Prerequisite,Prerequisite_2,Prerequisite 2,Prerequisite 2,Prerequsite 3 ,Prerequisite 4,Prerequisite 5,Prerequisite 6,Prerequisite 7,Prerequisite 8,Prerequisite 9,Prerequisite 10,Prerequisite 11,Priority in Website ,CSU Class,Best for (goal),URL Link,Online Link
AI,Online Courses / Structured Learning Paths,Advanced, Embedded Systems and Machine Learning,Sudeep Pasricha,CS 528,CS 250 / CS 270 / ECE 251 / ECE 253,CS 162 / CS 163 / CS 164 /  | CS 162 / CS 163 / CS 164 / CIS 340  | ECE 102  | ECE 102 / ECE 252 / MECH 207,CS 162 / CS 163 / CS 164 / ,CS 162 / CS 163 / CS 164 / CIS 340 ,ECE 102 ,ECE 102 / ECE 252 / MECH 207,,,,,,,,2,Y,Understanding diverse applications of machine learning and deep learning,https://catalog.colostate.edu/search/?search=CS+528,https://online.colostate.edu/courses/CS/CS528.dot
SQL,Online Courses / Structured Learning Paths,Advanced,  Database Systems,Evan Anspach,CS 430,CS 314 / CS 370,"CS 214 / CS 253  | CS 165 , CS 250 / CS 270 / ECE 251 ",CS 214 / CS 253 ,"CS 165 , CS 250 / CS 270 / ECE 251 ",,,,,,,,,,2,Y,"Analyzing Databases, Developing  modeling skills for databases",https://catalog.colostate.edu/search/?search=CS+430,https://online.colostate.edu/courses/CS/CS301.dot
HPC,Online Courses / Structured Learning Paths,Advanced, Introduction to Bioinformatics Algorithms,Asa Ben-Hur,CS 525,"CS 320 , STAT 301 / ECE 303 / STAT 303 / STAT 307 / STAT 369","CS 220 , CS 165 , MATH 155 / MATH 156 / MATH 160 , DSCI 369 / MATH 229 / MATH 369 | MATH 117 / MATH 118 / MATH 120 / MATH 124 / MATH 125 / MATH 126 / MATH 127 / MATH 141 / MATH 155 / MATH 159 / MATH 160. | MATH 261 |  MATH 155 / MATH 156 / MATH 159 / MATH 160  |  MATH 155 / MATH 156 / MATH 159 / MATH 160. | None","CS 220 , CS 165 , MATH 155 / MATH 156 / MATH 160 , DSCI 369 / MATH 229 / MATH 369",MATH 117 / MATH 118 / MATH 120 / MATH 124 / MATH 125 / MATH 126 / MATH 127 / MATH 141 / MATH 155 / MATH 159 / MATH 160.,MATH 261, MATH 155 / MATH 156 / MATH 159 / MATH 160 , MATH 155 / MATH 156 / MATH 159 / MATH 160.,None,,,,,,1,Y,applying algorithm analysis to biology ,https://catalog.colostate.edu/search/?search=CS+525,https://online.colostate.edu/courses/CS/CS525.dot
AI,Online Courses / Structured Learning Paths,Intermediate, Introduction to Artifical Intelligience,Fabio De Abreu Santos,CS 440,CS 320 / CS 345,"CS 220 , CS 165 , MATH 155 / MATH 156 / MATH 160 , DSCI 369 / MATH 229 / MATH 369 | CS 220 , CS 150B / CS 152 / CS 165 / DSCI 235 , MATH 155 / MATH 160 , STAT 301 / STAT 302A / ECE 303 / STAT 303 / STAT 307 / STAT 315","CS 220 , CS 165 , MATH 155 / MATH 156 / MATH 160 , DSCI 369 / MATH 229 / MATH 369","CS 220 , CS 150B / CS 152 / CS 165 / DSCI 235 , MATH 155 / MATH 160 , STAT 301 / STAT 302A / ECE 303 / STAT 303 / STAT 307 / STAT 315",,,,,,,,,,1,Y,Learning how to use AI in Coding,https://catalog.colostate.edu/search/?search=CS+440,https://online.colostate.edu/courses/CS/CS440.dot
AI,Online Courses / Structured Learning Paths,Advanced,  Natural Language Processing,Nikhil Krishnaswamy,CS 542,CS 345,"CS 220 , CS 150B / CS 152 / CS 165 / DSCI 235 , MATH 155 / MATH 160 , STAT 301 / STAT 302A / ECE 303 / STAT 303 / STAT 307 / STAT 315","CS 220 , CS 150B / CS 152 / CS 165 / DSCI 235 , MATH 155 / MATH 160 , STAT 301 / STAT 302A / ECE 303 / STAT 303 / STAT 307 / STAT 315",,,,,,,,,,,1,Y,Developing knowledge of coding languages and their algorithim/computational capabilities,https://catalog.colostate.edu/search/?search=CS+542,https://online.colostate.edu/courses/CS/CS542.dot
HPC,Online Courses / Structured Learning Paths,Advanced, Big Data,Sangmi Pallickara,CS 535,CS 435,CS 320 / CS 370 ,CS 320 / CS 370 ,,,,,,,,,,,,Y,"Large scale topics surrounding Data analysis, modeling, and prediction",https://catalog.colostate.edu/search/?search=CS+535,https://online.colostate.edu/courses/CS/CS535.dot
AI,Online Courses / Structured Learning Paths,Advanced, Artificial Intelligience,Nikhil Krishnaswamy,CS 540,CS 440,"CS 320 , CS 345","CS 320 , CS 345",,,,,,,,,,,2,Y,Using artificial intelliigience for data mining and computation,https://catalog.colostate.edu/search/?search=CS+540,https://online.colostate.edu/courses/CS/CS540.dot
HPC,Online Courses / Structured Learning Paths,Advanced, Machine Learning,Asa Ben-Hur,CS 545,CS 440,"CS 320 , CS 345","CS 320 , CS 345",,,,,,,,,,,1,Y,applying algorithm analysis to biology ,https://catalog.colostate.edu/search/?search=CS+425,https://online.colostate.edu/courses/CS/CS425.dot
HPC,Online Courses / Structured Learning Paths,Advanced, Parallel Programming,Sanjay Rajopadhye,CS 575,CS 475,"CS 250 / CS 270 , CS 320 , CT 301","CS 250 / CS 270 , CS 320 , CT 301",,,,,,,,,,,2,Y,Learning to use complex Parallel Programming applications,https://catalog.colostate.edu/search/?search=CS+575,https://online.colostate.edu/courses/CS/CS575.dot
N/A,Online Courses / Structured Learning Paths,Advanced, Linear Algebra for Data Science: Matrices and Vectors Spaces,Michael Kirby,DSCI 569B,DSCI 569A / MATH 569A,"MATH 124 , MATH 126/ MATH 127 | MATH 124 , MATH 126/ MATH 127","MATH 124 , MATH 126/ MATH 127","MATH 124 , MATH 126/ MATH 127",,,,,,,,,,,Y,Accessing a series of courses related to Linear Algebra for Data Science ,https://catalog.colostate.edu/search/?search=MATH+569B,https://online.colostate.edu/courses/MATH/MATH569B.dot
AI,Online Courses / Structured Learning Paths,Advanced, Biomedical Signal Processing,Jesse Wilson,ECE 537,ECE 303 / ECE 311 / MATH 340 / STAT 303,"MATH 117 / MATH 118 / MATH 120 / MATH 124 / MATH 125 / MATH 126 / MATH 127 / MATH 141 / MATH 155 / MATH 159 / MATH 160. | ECE 202 / ECE 206 , ECE 331 , ECE 341 , MATH 340 / CS 356 / ECE 451 / ECE 528 , ECE 202 / ECE 206 , MATH 340  | MATH 255 / MATH 261 |  MATH 155 / MATH 156 / MATH 159 / MATH 160.",MATH 117 / MATH 118 / MATH 120 / MATH 124 / MATH 125 / MATH 126 / MATH 127 / MATH 141 / MATH 155 / MATH 159 / MATH 160.,"ECE 202 / ECE 206 , ECE 331 , ECE 341 , MATH 340 / CS 356 / ECE 451 / ECE 528 , ECE 202 / ECE 206 , MATH 340 ",MATH 255 / MATH 261, MATH 155 / MATH 156 / MATH 159 / MATH 160.,,,,,,,,1,Y,Applying AI to  Biomedical signal processing and noise reduction,https://catalog.colostate.edu/search/?search=ECE+537,https://online.colostate.edu/courses/ECE/ECE537.dot
AI,Online Courses / Structured Learning Paths,Advanced, Adaptive Systems and Machine Learning,Mahmood Azimi-Sadjadi,ECE 553,"ECE 303 / STAT 303 , ECE 312", MATH 155 / MATH 156 / MATH 159 / MATH 160  |  MATH 155 / MATH 156 / MATH 159 / MATH 160. | ECE 311, MATH 155 / MATH 156 / MATH 159 / MATH 160 , MATH 155 / MATH 156 / MATH 159 / MATH 160.,ECE 311,,,,,,,,,1,Y,Learning to use AI for supervised and unsupervised learning,https://catalog.colostate.edu/search/?search=ECE+553,https://online.colostate.edu/courses/ECE/ECE553.dot
HPC,Online Courses / Structured Learning Paths,Intermediate, Modeling Human Systems Behavior,Steve Conrad,ENGR 535,ECE 303 / STAT 303 / STAT 311 / STAT 315," MATH 155 / MATH 156 / MATH 159 / MATH 160  |  MATH 155 / MATH 156 / MATH 159 / MATH 160. | ECE 202 / ECE 206 , ECE 331 , ECE 341 , MATH 340 / CS 356 / ECE 451 / ECE 528 , ECE 202 / ECE 206 , MATH 340  |  MATH 155 / MATH 156 / MATH 159 / MATH 160.", MATH 155 / MATH 156 / MATH 159 / MATH 160 , MATH 155 / MATH 156 / MATH 159 / MATH 160.,"ECE 202 / ECE 206 , ECE 331 , ECE 341 , MATH 340 / CS 356 / ECE 451 / ECE 528 , ECE 202 / ECE 206 , MATH 340 ", MATH 155 / MATH 156 / MATH 159 / MATH 160.,,,,,,,,,Y,Modeling applicatoins for human system behvaior,https://catalog.colostate.edu/search/?search=ENGR+535,https://online.colostate.edu/courses/ENGR/ENGR535.dot
Geospatial,Online Courses / Structured Learning Paths,Intermediate, Systems Sensing and Imaging Analysis,Steven Simske,SYSE 512,ECE 303 / STAT 303 / STAT 315, MATH 155 / MATH 156 / MATH 159 / MATH 160. |  MATH 155 / MATH 156 / MATH 159 / MATH 160. |  MATH 155 / MATH 156 / MATH 159 / MATH 160., MATH 155 / MATH 156 / MATH 159 / MATH 160., MATH 155 / MATH 156 / MATH 159 / MATH 160., MATH 155 / MATH 156 / MATH 159 / MATH 160.,,,,,,,,,1,Y,Learning to transmite physical data to online data,https://catalog.colostate.edu/search/?search=SYSE+512,https://online.colostate.edu/courses/SYSE/SYSE512.dot
Matlab,Online Courses / Structured Learning Paths,Intermediate, Engineering Data Design and Visualization,Erika Gallegos (Miller),SYSE 541,ECE 303 / STAT 303 / STAT 315, MATH 155 / MATH 156 /  MATH 159 / MATH 160. |  MATH 155 / MATH 156 / MATH 159 / MATH 160. |  MATH 155 / MATH 156 / MATH 159 / MATH 160., MATH 155 / MATH 156 /  MATH 159 / MATH 160., MATH 155 / MATH 156 / MATH 159 / MATH 160., MATH 155 / MATH 156 / MATH 159 / MATH 160.,,,,,,,,,,Y,"Learning to design data, create visualizations, and communicate patterns",https://catalog.colostate.edu/search/?search=SYSE+541,https://online.colostate.edu/courses/SYSE/SYSE541.dot
AI,Online Courses / Structured Learning Paths,Advanced, Machine Learning in Imaging and Spectroscopy (Paywalled),Jesse Wilson,BIOM 559,"ECE 312 , BIOM 403 / ECE 403 / ECE 504 , ECE 303 / STAT 303 / BIOM 431 , CS 150B / CS 152 / CS 163 / CS 164","ECE 311 | CHEM 311 , PH 142 | CHEM 311 , PH 142 | ECE 342 |  MATH 155 / MATH 156 / MATH 159 / MATH 160. |  MATH 155 / MATH 156 / MATH 159 / MATH 160. | None | None | CS 163 / MATH 124 / MATH 125 / MATH 126 / MATH 127 | CIS 240 / CS 150A / CS 150B / CS 152 / MATH 120 / MATH 124 / MATH 127  | CIS 240 / CS 150A / CS 150B / CS 152 / CS 163 / ENGR 111 / ENGR 123",ECE 311,"CHEM 311 , PH 142","CHEM 311 , PH 142",ECE 342, MATH 155 / MATH 156 / MATH 159 / MATH 160., MATH 155 / MATH 156 / MATH 159 / MATH 160.,None,None,CS 163 / MATH 124 / MATH 125 / MATH 126 / MATH 127,CIS 240 / CS 150A / CS 150B / CS 152 / MATH 120 / MATH 124 / MATH 127 ,CIS 240 / CS 150A / CS 150B / CS 152 / CS 163 / ENGR 111 / ENGR 123,2,Y,Applying Machine Learning to Imaging and Spectroscopy,https://catalog.colostate.edu/search/?search=BIOM+559,https://online.colostate.edu/courses/BIOM/BIOM559.dot
R,Online Courses / Structured Learning Paths,Beginner, Mechanical Engineering Data Analysis in R,John Volckens,MECH 476,ENGR 111 / MECH 103,None | None,None,None,,,,,,,,,,1,Y,Introductory concepts of R for mechanical engineering applications,https://catalog.colostate.edu/search/?search=MECH+476,https://online.colostate.edu/courses/MECH/MECH476.dot
R,Online Courses / Structured Learning Paths,Intermediate, Environmental Data Science Applications: Water Resources,Mike Johnson,ESS 523C,ESS 523A OR SOCR 523A,STAT 158 /STAT 301 | STAT 158 /STAT 301,STAT 158 /STAT 301,STAT 158 /STAT 301,,,,,,,,,,2,Y,Learning about water based appilcations of R and Machine Learning,https://catalog.colostate.edu/search/?search=ESS+523C,https://online.colostate.edu/courses/ESS/ESS523C.dot
R,Online Courses / Structured Learning Paths,Intermediate, Wildlife Data Collection and Analysis,Larissa Bailey,FW 471,"FW 370 , NR 220","LIFE 320 / LAND 220 / LIFE 220 , FW 260 / FW 360 , NR 220 , MATH 155 / MATH 160 , STAT 301 / STAT 307 | None","LIFE 320 / LAND 220 / LIFE 220 , FW 260 / FW 360 , NR 220 , MATH 155 / MATH 160 , STAT 301 / STAT 307",None,,,,,,,,,,2,Y,Learning how to collect and analyze wildlife data in a professional manner,https://catalog.colostate.edu/search/?search=FW+471,https://online.colostate.edu/courses/FW/FW471.dot
Geospatial,Online Courses / Structured Learning Paths,Intermediate, GIS for Social Scientists,Sayat Temirbekov,GR 311,GR 100,,,,,,,,,,,,,1,Y,Learning applications of GIS for social sciecnes ,https://catalog.colostate.edu/search/?search=GR+311,https://online.colostate.edu/courses/GR/GR311.dot
Matlab,Online Courses / Structured Learning Paths,Intermediate, Mechancial Engineering Computational Methods,Ciprian Dumitrache,MECH 305,MATH 340,MATH 255 / MATH 261,MATH 255 / MATH 261,,,,,,,,,,,1,Y,"Applying numerical methods, programming, and machine learning to mechanical engineering",https://catalog.colostate.edu/search/?search=MECH+305,https://online.colostate.edu/courses/MECH/MECH305.dot
Matlab,Online Courses / Structured Learning Paths,Intermediate, Control Systems,Amir Nazerian,MECH 417,"MATH 340 , MECH 307","MATH 255 / MATH 261 | CIVE 261 / MECH 261 , ECE 204 / ECE 206 / MECH 207 , MATH 340 ",MATH 255 / MATH 261,"CIVE 261 / MECH 261 , ECE 204 / ECE 206 / MECH 207 , MATH 340 ",,,,,,,,,,1,Y,Applying matlab for control loops and forward loops,https://catalog.colostate.edu/search/?search=MECH+417,https://online.colostate.edu/courses/MECH/MECH417.dot
N/A,Online Courses / Structured Learning Paths,Advanced, Materials Science and Engineering Methods: Computational Materials Methods,Christopher Weinberger,MATH 502B,MATH 340 / MATH 345 / MECH 331,"MATH 255 / MATH 261 | MATH 255 / MATH 261 , DSCI 369 / MATH 369 | CHEM 111 , CHEM 112 , MECH 231 ",MATH 255 / MATH 261,"MATH 255 / MATH 261 , DSCI 369 / MATH 369","CHEM 111 , CHEM 112 , MECH 231 ",,,,,,,,,,Y,Modeling Materials using coding ,https://catalog.colostate.edu/search/?search=MSE+502F,https://online.colostate.edu/courses/MSE/MSE502F.dot
Bash,Online Courses / Structured Learning Paths,Advanced, Information Systems Essentials,Xinran Wang,CIS 606,None,,,,,,,,,,,,,1,Y,Learning software development,https://catalog.colostate.edu/search/?search=CIS+606,https://online.colostate.edu/courses/CIS/CIS606.dot
Excel,Online Courses / Structured Learning Paths,Beginner, Life Cycle Assessment for Sustiainability,Elizabeth Toman,ESS 555,None,,,,,,,,,,,,,1,Y,Using Excel to conduct a research project revolving around life cycles,https://catalog.colostate.edu/search/?search=ESS+555,https://online.colostate.edu/courses/ESS/ESS555.dot
Excel,Online Courses / Structured Learning Paths,New to Programming, Working With Data,Yuulin An,ECON 235,None,,,,,,,,,,,,,1,Y,Learning to use excel for data management,https://catalog.colostate.edu/search/?search=ECON+235,https://online.colostate.edu/courses/ECON/ECON235.dot
Geospatial,Online Courses / Structured Learning Paths,New to Programming, Introduction to Geospatial Science,Elizabeth Tulanowski,NR 319,None,,,,,,,,,,,,,1,Y, learning ArcGIS and geospatial concepts ,https://catalog.colostate.edu/search/?search=NR+319,https://online.colostate.edu/courses/NR/NR319.dot
HPC,Online Courses / Structured Learning Paths,Advanced, Engaging in Virtual Worlds,Nathaniel Blanchard,CS 462,None,,,,,,,,,,,,,2,Y,Coding to build 3d models and develop 3d worlds,https://catalog.colostate.edu/search/?search=CS+462,https://online.colostate.edu/courses/CS/CS462.dot
Matlab,Online Courses / Structured Learning Paths,Beginner, Engineering Design--3D Modeling and Printing,Doug Fankell,MECH 210,None,,,,,,,,,,,,,,Y,Learning how to apply 3d softwares in mechanical engineering,https://catalog.colostate.edu/search/?search=MECH+210,https://online.colostate.edu/courses/MECH/MECH210.dot
N/A,Online Courses / Structured Learning Paths,Beginner,Design Thinking Toolbox: 3d Animation and Storytelling,Brendan Kelley,IDEA 310Q,None,,,,,,,,,,,,,2,Y,Using 3d modeling and animation,https://catalog.colostate.edu/search/?search=IDEA+310Q,https://online.colostate.edu/courses/IDEA/IDEA310Q.dot
Excel,Online Courses / Structured Learning Paths,Beginner,Business Data Visualization,Adela Chen,CIS 576,None,,,,,,,,,,,,,1,Y,Implementing best Practices for data visualization,https://catalog.colostate.edu/search/?search=CIS+576,https://online.colostate.edu/courses/CIS/CIS576.dot
N/A,Online Courses / Structured Learning Paths,Beginner,General Statistics,Haotian Liu,STAT 201,none,,,,,,,,,,,,,,Y,Analyzing datasets using JMP coding software,https://catalog.colostate.edu/search/?search=STAT+201,https://online.colostate.edu/courses/STAT/STAT201.dot
R,Online Courses / Structured Learning Paths,New to Programming,Introduction to R Programming,Dharma Hoy,STAT 158,None,,,,,,,,,,,,,1,Y,Getting foundational knowledge in R concepts ,https://catalog.colostate.edu/search/?search=STAT+158,https://online.colostate.edu/courses/STAT/STAT158.dot
R,Online Courses / Structured Learning Paths,Advanced,Water Quality Monitoring,Ryan Bailey ,CIVE 542,None,,,,,,,,,,,,,1,Y,Modeling Lake and Stream Water quality,https://catalog.colostate.edu/search/?search=CIVE+542,https://online.colostate.edu/courses/CIVE/CIVE542.dot
SQL,Online Courses / Structured Learning Paths,New to Programming,Personal Computing,Logan Seabolt,CS 110,None,,,,,,,,,,,,,1,Y,Getting foundational knowledge in computer management and data ,https://catalog.colostate.edu/search/?search=CS+110,https://online.colostate.edu/courses/CS/CS110.dot
R,Online Courses / Structured Learning Paths,Beginner,Applications of Quantitative Resesarch,Pat Hastings,SOC 314,"SOC 210 , SOC 311",MATH 100 - 199 | SOC 100 / SOC 105,MATH 100 - 199,SOC 100 / SOC 105,,,,,,,,,,,Y,,https://catalog.colostate.edu/search/?search=SOC+314,https://online.colostate.edu/courses/SOC/SOC314.dot
SQL,Online Courses / Structured Learning Paths,Beginner,Applications of Quantitative Research,Pat Hastings,SOC 314,"SOC 210 / STAT 200 - 499 , SOC 311",MATH 100 - 199 | SOC 100 / SOC 105,MATH 100 - 199,SOC 100 / SOC 105,,,,,,,,,,1,Y,"Learning how to collect, analyze, and merge datasets",https://catalog.colostate.edu/search/?search=SOC+314,https://online.colostate.edu/courses/SOC/SOC314.dot
R,Online Courses / Structured Learning Paths,Advanced, Statistical Learning and Data Mining,Stacy Edmondson,STAA 577,"STAA 551 , STAA 561","MATH 369 , STAT 315 | MATH 369 , STAT 315","MATH 369 , STAT 315","MATH 369 , STAT 315",,,,,,,,,,1,Y,"Learning how to use R studio for statistical applications in medicine, government, science, and business ",https://catalog.colostate.edu/search/?search=STAA+577,https://online.colostate.edu/courses/STAA/STAA577.dot
AI,Online Courses / Structured Learning Paths,Advanced, Machine Learning,Yunpeng Zhao ,STAA 578,STAA 577,"STAA 551 / STAT 540 , STAA 562 / STAT 530 ","STAA 551 / STAT 540 , STAA 562 / STAT 530 ",,,,,,,,,,,1,Y,,https://catalog.colostate.edu/search/?search=STAA+577,https://online.colostate.edu/courses/STAA/STAA577.dot
AI,Online Courses / Structured Learning Paths,Advanced, Machine Learning,Jesse Burkhardt,STAA 578,"STAA 577, Graduate","STAA 551 / STAT 540 , STAA 562 / STAT 530 ","STAA 551 / STAT 540 , STAA 562 / STAT 530 ",,,,,,,,,,,1,Y,Using Machine Learning for data science and mining applications,https://catalog.colostate.edu/search/?search=STAA+578,https://online.colostate.edu/courses/STAA/STAA578.dot
R,Online Courses / Structured Learning Paths,Intermediate,Design and Data Analysis for Researchers II,Eric Gilleland,STAR 512,"STAR 511 OR STAT 511A, Graduate",STAT 301 / STAT 307 / STAT 311 / STAT 315,STAT 301 / STAT 307 / STAT 311 / STAT 315,,,,,,,,,,,1,Y,exploring statistical methods for research,https://catalog.colostate.edu/search/?search=STAR+513,https://online.colostate.edu/courses/STAR/STAR513.dot
R,Online Courses / Structured Learning Paths,Intermediate, Environmental Data Science Applications: Introduction,Caitlin Mothes,ESS 523A,STAT 158 / STAT 301,None | None,None,None,,,,,,,,,,1,Y,Using R Studio for environmental science applications,https://catalog.colostate.edu/search/?search=ESS+523A,https://online.colostate.edu/courses/ESS/ESS523A.dot
Excel,Online Courses / Structured Learning Paths,Beginner,Statistics With Business Applications,Kai Jeffreys ,STAT 204,STAT 201,None,None,,,,,,,,,,,1,Y,Utilizing  Excel for Business data applications,https://catalog.colostate.edu/search/?search=STAT+204,https://online.colostate.edu/courses/STAT/STAT204.dot
AI,Online Courses / Structured Learning Paths,Advanced,Applied Data Mining and Analytics in Business,Gaurav Jetley,CIS 575,STAT 204,None,None,,,,,,,,,,,2,Y,Applying AI Data Mining Business,https://catalog.colostate.edu/search/?search=CIS+575,https://online.colostate.edu/courses/CIS/CIS575.dot
R,Online Courses / Structured Learning Paths,Intermediate, Statistics for Environmental Monitoring,Ellison Carter,CIVE 547,STAT 301,MATH 117 / MATH 118 / MATH 120 / MATH 124 / MATH 125 / MATH 126 / MATH 127 / MATH 141 / MATH 155 / MATH 159 / MATH 160.,MATH 117 / MATH 118 / MATH 120 / MATH 124 / MATH 125 / MATH 126 / MATH 127 / MATH 141 / MATH 155 / MATH 159 / MATH 160.,,,,,,,,,,,2,Y,Applying Statistics concepts to the environment,https://catalog.colostate.edu/search/?search=CIVE+547,https://online.colostate.edu/courses/CIVE/CIVE547.dot
AI,Online Courses / Structured Learning Paths,Intermediate, Analytics and AI in Business,Zisu Wang,,,,,,,,,,,,,,,2,Y,,https://catalog.colostate.edu/search/?search=CIS+370,https://online.colostate.edu/courses/CIS/CIS370.dot
